PrincipalDetails,IsDuplicated,BloomFilter32Bit
abbeysimmonds5121914,0,2474777977
abbeystephenson2271952,1,2835933078
abbeystephenson3171952,1,3153013855
abbeystephenson3171952,1,3153013855
abbeystephenson3171952,0,3153013855
abbeyvesalbfinlay28101971,1,389334756
abbeyxquill531915,1,361791883
abbeyynjtrwmatthews681985,1,1420664604
abbeyyq2231915,1,367892441
abbiefinl2721956,1,601937417
abbiefinlay2351977,1,2141021132
abbiefinlay2651973,0,2597851009
abbielimbert13101906,0,3519956001
abbielimbert13101906,1,3519956001
abbielimbert13101906,1,3519956001
abbielimbert13111906,1,2676634195
abbielimbert3101906,1,1847802830
abbielimbfrt13101906,1,1324344158
abbiesfinlayfwqhgou2651973,1,4124648490
abbievsmlimber13101906,1,1969502489
abbiflimbert13101906,1,1675280915
abbjelimberthebd13101906,1,28249766
abbrawlings16101986,1,759796339
abbsporn1451912,1,1308415151
abbyang2161983,0,713254325
abbyhjzqspark1131993,1,1946470945
abbyryan1911967,0,191690414
abbyryan1911967,1,191690414
abbyrzmcsporn551983,1,1934387987
abbyspark1131993,1,144474456
abbyspark1131993,0,144474456
abbysporn351983,1,250071539
abbysporn551983,0,73014732
abbysporn551983,1,73014732
abbysporn551983,1,73014732
abbysporntyxvp551983,1,1324778300
abbystanley851978,0,1662543694
abbytsokas261929,0,139025424
abbyxspark1131993,1,3521156969
abciarygood821990,1,779135080
abcrisci2731989,1,3558747900
abcrisci2731989,1,3558747900
abigailnpaterson18121902,1,3856396538
abigailpaterson18121902,1,2782331175
abigailpaterson18121902,1,2782331175
abigailpaterson18121902,1,2782331175
abigailpaterson18121902,1,2782331175
abigailpaterson18121902,0,2782331175
abigailpatersonhw18121902,1,3871409319
abigailpetersen2511956,1,1764552325
abigailpetersen2511956,0,1764552325
abigailpetersen2511956,1,1764552325
abiieygtiedbux2481939,1,404358174
abiihedaux2481938,1,2624909980
abiihedaux2481939,1,4022339851
abiihedaux2481939,1,4022339851
abiihedaux2481939,0,4022339851
abiihedauxeuvmst2481939,1,3348784768
abiihedauxf2481939,1,324560415
abjgailpaterson18121902,1,1747485710
abmiwhite11101902,1,310241985
aboats31101947,1,255872006
acbeycsjtdj2731989,1,354878452
acbfzparfilo12111989,1,3275161205
adacarbone1161982,1,1937910343
adamadair2041956,0,3087009387
adambarnetson2291977,0,3402633559
adambarnetson2291977,1,3402633559
adambarnetsontizru2291978,1,81527423
adamboeyen1841944,0,1440607442
adamboeyen1841944,1,1440607442
adamcarbone1161982,0,920423853
adamcbscpof1161982,1,2331163563
adamclarke571927,0,793458242
adamcoleman8111949,0,1252586449
adamcordingley2231900,0,3596632962
adamcordingley2231900,1,3596632962
adamcra1051927,1,761781273
adamcraze1051925,1,1090032668
adamcraze1051927,1,1456754617
adamcraze1051927,0,1456754617
adamcraze1051927,1,1456754617
adamcraze1051927,1,1456754617
adamcraze1051927,1,1456754617
adamcraze111927,1,491841146
adamdallas1631917,1,3395019427
adamdallas1631917,0,3395019427
adamewald321918,0,1385213309
adamewald651937,1,76124292
adamgilbertson1551957,1,1000021754
adamgilbertson1551957,0,1000021754
adamgilbertson1551957,1,1000021754
adamgilbertson1551957,1,1000021754
adamgilbertson1551957,1,1000021754
adamgilbertson2591935,1,1583782024
adamhendrick7101958,1,3650976135
adamhendricks7101958,0,2228881664
adamhingston1261998,1,1195040814
adamhingston1261998,0,1195040814
adamiqaubtcraze1051927,1,3524063665
adammatthews15111910,1,2348381076
adammatthews15111918,0,718058940
adamnguye23121946,1,3057372058
adamnguyen23121946,0,1644635416
adamnguyen23121946,1,1644635416
adamnguyentrko23121946,1,2007898556
adampavhcvaszoc511988,1,1296151716
adampichugin2831965,0,2359846232
adampichvgin2831965,1,1747927143
adamreid211915,1,2460095327
adamreid211955,1,57801064
adamreid211955,1,57801064
adamreid211955,0,57801064
adamsmithson6101918,0,3697169989
adamsmithsontdmk30101918,1,2018657219
adamsrtgvaszocz13111988,1,451512229
adamtiller1641941,1,3913764140
adamtiller1941941,0,1476903093
adamtuckwel2851996,1,659322603
adamtuckwell2851996,0,253962018
adamtuckwell2851996,1,253962018
adamtuckwell2851996,1,253962018
adamtuckwell451996,1,1060125211
adamtuckwelm1441940,1,3212389467
adamuvdlxell2851996,1,4279103865
adamvaszocz12111988,1,3044072545
adamvaszocz13111988,0,2231704659
adamvaszocz13111988,1,2231704659
adamvaszocz13111988,1,2231704659
adamvhepautuckwell2251996,1,1956791457
adamwdbctzyu771941,1,3833222487
adamyu771941,1,4094073809
adamyu771941,0,4094073809
adamyumgotfix771941,1,2538849549
adamyusdmlu771941,1,2563799287
adamyv771941,1,739562355
adanguyen23121946,1,2636779771
adeladudgeon27101918,0,950150849
adeladudgeon27101918,1,950150849
adelalomman131998,0,1084085318
adelemorrison5121910,0,2962293358
adeleshorrock711908,1,3050373930
adeleshorrock711908,1,3050373930
adeleshorrock711908,0,3050373930
adeleshorrockk711908,1,3866701964
adeletbhmorrison5121910,1,1763651314
adjxon25111996,1,1298576178
adrianajenko14101962,1,1687351006
adrianajenko241962,0,2609625372
adrianajenko241962,1,2609625372
adrianajenko241962,1,2609625372
adrianajenkon241962,1,3633989979
afitzpaurick271924,1,2826981805
ahedaux2481939,1,3837955509
ahonsbmey2421945,1,2283965712
aidanbanham3081928,0,2768839978
aidanbanham3091928,1,994437854
aidanbishop2061949,0,3930226310
aidanblake2891927,0,4191297401
aidanbradshaw661938,0,1036397248
aidancampbell1871941,0,892103808
aidancrbethbw661938,1,2991534306
aidandohse29121919,1,2080215727
aidandohse29121919,0,2080215727
aidanfi26121961,1,2774581895
aidanfinlay16111913,0,3061238916
aidanfinlay16111913,1,3061238916
aidanfinlay26121961,0,3631569445
aidanfinlay26121968,1,3264608679
aidanfysh441933,0,2832959197
aidanhamdan19111910,0,2871886345
aidanhamdan19111910,1,2871886345
aidanhamdbn19111910,1,1089896075
aidanlesli481971,1,3892149792
aidanleslie481971,1,1932163883
aidanleslie481971,0,1932163883
aidanminorchio461950,0,2875999437
aidanminorchio961950,1,967310269
aidanmor221914,1,1280622001
aidanmorriso221914,1,4054420953
aidanmorrison221914,0,1644520609
aidanmorrison231914,1,2955859942
aidanrees2451906,1,2280502142
aidanrees2451906,0,2280502142
aidanwebb1871941,1,4059100041
aidanwebb1871941,1,4059100041
aidanwebb1871941,0,4059100041
aidanwhite9101973,0,4111432433
aidenkrishnan1081967,1,305389017
aidenkrishnan1081967,0,305389017
aidenmaynard511996,0,3338841835
aidenmbynard511996,1,649130906
aidenmcmellon22111901,1,4194920355
aidenmcmellon6121930,0,2169386267
aidenmcmellon6121930,1,2169386267
aidenmcmellon6121930,1,2169386267
aidenmcmellon6121930,1,2169386267
aidenmcmellon6121930,1,2169386267
aidenmcmellonx6121930,1,3820305203
aidenncmellon6121930,1,3258539775
aidenroche2931940,0,2564905073
aidenson1671949,0,2173030968
aidenthorpe341927,1,561305764
aidenthorpe741927,0,290345963
aidenthorpe741927,1,290345963
aidenthorpe741927,1,290345963
aidfnson1671949,1,3806925284
aidyneisner28121910,0,1232834993
aidyneisner28121910,1,1232834993
aidyneisner2821910,1,104475493
aidynmorrison1931916,0,2203800012
aidynmorrjton1931916,1,1878634736
aidynpfvloceisner28121910,1,3421695312
aikaterinahewetson3031950,0,2267786116
aikaterinaredington2541923,1,369753023
aikaterinaredington421916,1,3257432388
aikaterinaredington521916,1,3583034719
aikaterinaredington521916,1,3583034719
aikaterinaredington521916,0,3583034719
ainsleydsshepherdson25111916,1,3058094952
ainsleyrobison3151931,1,3338945749
ainsleyrobison3151931,0,3338945749
ainsleyshepherdson21111916,1,730382822
ainsleyshepherdson25111916,0,1067407875
ainsleyshepherdson25111916,1,1067407875
ainsshepherdson2911916,1,3993046436
ajachetwyn2251929,1,3654953307
ajaychetwyn2191967,1,2859486674
ajaychetwyn2221929,0,3811109019
ajaychetwyn2221929,1,3811109019
ajaypoumako1741954,0,321725860
ajayypoumako1741954,1,1863842500
alaiyahklemm2481910,0,2921465175
alaiyahklemmnzulm481910,1,127680409
alaiyahstephenson1271902,1,1665972164
alaiyahstephenson1271905,1,2615445886
alaiyahstephenson1271905,0,2615445886
alaiyahstephenson1271905,1,2615445886
alaiyahstephenson1371905,1,1900369514
alanafrahn731963,1,4090926185
alanafrahn731963,1,4090926185
alanafrahn731963,0,4090926185
alanafrahnojhbt731963,1,1813047960
alanafrahnprutx731963,1,1756446438
alanagreen491903,0,1903254419
alanakwarnock1961979,1,3041645446
alanalm10111908,1,474625943
alanalombardi23111902,0,513322373
alanalombardi23111902,1,513322373
alanalombardi23111902,1,513322373
alanalombardi23111902,1,513322373
alanalombardisg211910,1,1338096163
alanamcgregor17121984,1,3754224692
alanamcgregor27121984,1,1708151890
alanamcgregor27121984,0,1708151890
alanamorrison10111908,0,50998409
alanareid1921920,0,1671063021
alanareid1921920,1,1671063021
alanathredgold2551925,0,1871332666
alanathredgold2551925,1,1871332666
alanauwxqalombarei711902,1,799292409
alanavan geel2741910,1,1184191353
alanavan geel2741910,1,1184191353
alanavan geel2741910,0,1184191353
alanaw1961979,1,692238542
alanawarnock1961979,0,1065859819
alanawarnock1961979,1,1065859819
alanawarnock1961979,1,1065859819
alanawarnock1961979,1,1065859819
alanawarnock1961979,1,1065859819
alanawarnock1961979,1,1065859819
alanaweluk831915,0,3900532511
alanazoanetti1421951,0,3104525151
alanazoanetti1421951,1,3104525151
alanazoanetti1421951,1,3104525151
alanazoboftui1421951,1,1981651284
alannahmorrison2861945,1,439939364
alannahmorrison2861945,0,439939364
alannahmorrison2861945,1,439939364
alannahmorrison2861945,1,439939364
alannahnewport19121940,0,2843961275
alannahnewport2151940,1,1334128335
alannahpnewportzyilmfu19121940,1,222137757
alannahsan20121934,1,2073920381
alannahsanti20121934,1,2696433635
alannahsanti30121934,1,2699159389
alannahsanti30121934,1,2699159389
alannahsanti30121934,0,2699159389
alanzoanetti1451951,1,759991579
alartis1561922,1,2756761037
alecmckerlie1471989,1,2884838191
alecmckerlie1471989,1,2884838191
alecmckerlie1471989,1,2884838191
alecmckerlie1471989,0,2884838191
alecmckerlie1471989,1,2884838191
alecmckerlie1771989,1,946547992
alecmckerlie2571989,1,3390043501
alecmckerliee1471989,1,2266130378
alecmckerliexnkzmj1471989,1,2753834798
alecpmckerlie1471989,1,3063924628
alecuowlmcke1471989,1,2520375347
aleeshahingston2191924,1,2620921074
aleeshahingston2191924,1,2620921074
aleeshahingston2191924,0,2620921074
aleeshahingston2191924,1,2620921074
aleeshahingston2191924,1,2620921074
aleeshahingstonod2191924,1,3552779709
aleeshaiingston871932,1,819283812
aleesharashley1341950,1,4218961406
aleesharashley1341950,0,4218961406
aleesharashley1341950,1,4218961406
aleeshareid2481984,0,3316562343
aleeshbhingston2191924,1,1876924641
alehingston291924,1,2894127344
alehingstonrmuwfljvkonxags2191924,1,966147224
aleilowe3121973,1,1753759832
aleishabeadle171916,0,34657001
aleishabeadlejqifog171916,1,3750541986
aleishabridgland19101993,0,3768441473
aleishacampbell3061991,0,4152001641
aleishalowe3121973,1,1648969895
aleishalowe3121973,0,1648969895
aleishalowehkslpr3121973,1,2033722761
aleishamason2251936,1,3567400588
aleishamason2251986,1,2885860352
aleishamason2251986,0,2885860352
aleishaqknbridgland14101993,1,3824414416
aleishaspratt2831992,0,1757350533
alerashleyf1341950,1,3211814722
alessandradruitt1751981,0,151241238
alessandradruitt1751981,1,151241238
alessandradruitt1751981,1,151241238
alessandradruitt1751981,1,151241238
alessandradruitt1751981,1,151241238
alessandraeyles3061921,0,573943619
alessandrastanley2531994,0,183963627
alessandrastanley2731994,1,4074312801
alessandrastanleygtlzs2531994,1,3148519356
alessandrastaoley2531994,1,1705391796
alessandrathor641908,1,2138013927
alessandrathorpe641908,1,1976333233
alessandrathorpe641908,1,1976333233
alessandrathorpe641908,0,1976333233
alessandrathorpe641908,1,1976333233
alessandrathorpe841908,1,2825956084
alessandrathorpeye641908,1,85241743
alessandrattanlfy2531994,1,3413964534
alessandruitt1751981,1,2638983468
alessanthorpe6111908,1,953889859
alessiaharrington29111956,1,3766294367
alessiaharrington29111956,0,3766294367
alessiakrajnc2111942,0,2880241703
alessiasmithson5111942,0,4197078463
alesteers2151962,1,3374137771
alexa-rosegreen581929,0,4124153921
alexa-rosegreen581929,1,4124153921
alexa-rosenguyen371983,1,2655886694
alexa-rosenguyen371983,0,2655886694
alexa-rosevatavu2581962,1,2021628755
alexa-rosevatavuk2581962,0,2601927766
alexanderbishop631914,0,838695538
alexandercrouch2311911,0,3848102691
alexanderdixon1841976,0,813819993
alexanderdrymis16101957,1,766898862
alexanderdrymis19111907,1,3996342109
alexanderdrymis19111957,0,2855023659
alexanderdrymis19111957,1,2855023659
alexandereglinton1151970,0,4201754600
alexanderg811994,1,3207113312
alexandergeorge811997,1,1245216250
alexandergeorge811997,1,1245216250
alexandergeorge811997,1,1245216250
alexandergeorge811997,0,1245216250
alexandergeorge811997,1,1245216250
alexandergeorge811997,1,1245216250
alexandergreen24101907,0,3684795102
alexandergreen24101907,1,3684795102
alexandergreenjaxfwrp24101907,1,3327147380
alexanderhepshf811997,1,2938110052
alexanderjeffries4101972,1,3736903480
alexanderjeffries841977,1,3301671465
alexanderjeffries841977,1,3301671465
alexanderjeffries841977,1,3301671465
alexanderjeffries841977,0,3301671465
alexanderjeffries841977,1,3301671465
alexanderjeffrieso841977,1,2291111983
alexanderkermeen1681949,0,2307086534
alexanderkermeen1681949,1,2307086534
alexanderkermeen1891949,1,3020401116
alexanderkermeenqpvgmlfo1681949,1,1291174788
alexanderkerslake1121912,0,1550402129
alexandermunyarry411977,1,3422712846
alexandermunyarryun7111955,1,2251267490
alexandermunyarryun7111955,0,2251267490
alexandermunyarryunjqcxn7111955,1,3814173021
alexandermusolino1741985,1,3255186494
alexandermusolino1741985,0,3255186494
alexanderpreston-stanley1951952,1,3475570185
alexanderpreston-stanley251916,1,3179628386
alexanderpreston-stanley251916,1,3179628386
alexanderpreston-stanley251916,0,3179628386
alexanderpreston-stanley5111936,1,106265589
alexanderpreston-stanley651911,1,2657222712
alexanderpriest1741942,0,2489971714
alexanderprifst531965,1,492150857
alexanderryan2851972,0,4195252254
alexanderryanos2851972,1,4131724194
alexandershepherd23101912,0,3936000649
alexanderstep1631994,1,105624978
alexanderstephenson1631994,0,1785534555
alexanderstephenson1631994,1,1785534555
alexanderstoneman1261932,0,510054240
alexanderstoneman1261932,1,510054240
alexandervincent2671915,0,81533539
alexandervitkuna16121999,1,1939710
alexandervitkunas16121999,1,2500650215
alexandervitkunas16121999,1,2500650215
alexandervitkunas16121999,1,2500650215
alexandervitkunas16121999,1,2500650215
alexandervitkunas16121999,0,2500650215
alexandervitkunas16121999,1,2500650215
alexandraagett641918,0,1775504099
alexandraagett741918,1,1427091691
alexandraalderson1061923,1,2699616846
alexandraalderson1061923,0,2699616846
alexandraalderson1061923,1,2699616846
alexandraallabanda171912,0,57379081
alexandraberry881912,0,1551492115
alexandrabishop1381961,1,3344275854
alexandrabishop1381961,1,3344275854
alexandrabishop1381961,1,3344275854
alexandrabishop1381961,0,3344275854
alexandrabnmargush1091976,1,925461558
alexandrabudge1981959,1,432419893
alexandrabudge1981959,0,432419893
alexandracampbell22101953,0,2707960676
alexandracjthpq1381961,1,340874482
alexandraclarke12121941,1,2059504067
alexandraclarke19121931,1,419286163
alexandraclarke19121931,0,419286163
alexandraclarke861989,0,280742459
alexandraclarke861989,1,280742459
alexandraclarke861989,1,280742459
alexandracrask231985,1,2780690628
alexandracraske231985,0,1143689999
alexandracraske231985,1,1143689999
alexandracraske331985,1,886308843
alexandracsaskf231985,1,2079847499
alexandrafinlay2371960,1,736560033
alexandrafinlay2371960,1,736560033
alexandrafinlay2371960,1,736560033
alexandrafinlay2371960,1,736560033
alexandrafinlay2371960,0,736560033
alexandragiordano26111934,1,3904982807
alexandragiordano4111934,1,2037236880
alexandragiordano4111934,0,2037236880
alexandragrainger17101925,0,2630140984
alexandragreen1381911,1,1469778104
alexandragreen881984,0,4068948559
alexandragreen881984,1,4068948559
alexandragreenugxsz881984,1,1673757095
alexandrahide2991907,1,2842893400
alexandrahide2991907,1,2842893400
alexandrahide2991907,1,2842893400
alexandrahide2991907,1,2842893400
alexandrahide2991907,0,2842893400
alexandrahjosdboo9111934,1,2192446073
alexandrahyland221903,1,1095790754
alexandrahyland221903,0,1095790754
alexandrahyland24101938,0,1402768425
alexandrahylandta221903,1,1279771317
alexandraizbfgreeo881984,1,2736578744
alexandralfinlay2371960,1,3612519240
alexandramargush1271906,0,2526278524
alexandrambishop1381961,1,2440161151
alexandramcneill2711908,1,42903226
alexandramcneill2711908,1,42903226
alexandramcneill2711908,0,42903226
alexandramcneill2711908,1,42903226
alexandrameixner2551903,0,1951381225
alexandramelham10121991,1,2135907107
alexandramelham10121991,0,2135907107
alexandramelham10121991,1,2135907107
alexandramelham10121991,1,2135907107
alexandramillar2731918,0,738661047
alexandramillar2731918,1,738661047
alexandranewberry6101969,0,548076446
alexandranewberry6101969,1,548076446
alexandranguyen2021944,0,1904508029
alexandranguyen4101951,1,4074766155
alexandranguyen4101951,1,4074766155
alexandranguyen4101951,0,4074766155
alexandrapacey1611939,0,2668323217
alexandrapacey1611939,1,2668323217
alexandrastearnes19101944,1,2019436619
alexandrastearnes2241908,1,3538020098
alexandrastearnes2891944,1,2197835490
alexandrastearnes2891944,0,2197835490
alexandrastearnes2891944,1,2197835490
alexandrastee941969,1,2290132203
alexandrasteer2151962,1,3922637933
alexandrasteers2151962,1,1868078875
alexandrasteers2151962,1,1868078875
alexandrasteers2151962,0,1868078875
alexandrasteers2931956,0,2368736331
alexandrasteers2931956,1,2368736331
alexandrastfers2931956,1,155621820
alexandrathurlow2101958,0,2113238722
alexandratufbisho1381961,1,1073421062
alexandravinaev10121916,0,3284815730
alexandravinaevn10121916,1,2406645357
alexandrayiannoulis1391979,0,798093276
alexandrazolyniak8101942,1,3824274116
alexandrazolyniak8101942,0,3824274116
alexanfinlayghetyudw2371960,1,161871751
alexanjeffries841977,1,1542367683
alexbabic2121905,0,3806089312
alexbabic2121905,1,3806089312
alexbeatton1771910,0,3267137830
alexbeatton1771910,1,3267137830
alexbeatton1771910,1,3267137830
alexbjepbeatton1771910,1,376756621
alexclarke1761972,0,309117
alexclarke2761984,0,2539842793
alexclarke2781984,1,1011089434
alexfitzpatrick2541952,1,2672509116
alexfitzpatrick271924,0,3275721536
alexhanna1551904,1,3103317059
alexhanna1551904,1,3103317059
alexhanna1551904,0,3103317059
alexozyfitzpatricki271924,1,2880598592
alexplumb2151946,1,2026750829
alexplumb2151946,1,2026750829
alexplumb2151946,1,2026750829
alexplumb2151946,0,2026750829
alexplumb2151946,1,2026750829
alexplumb2151976,1,2178091576
alexplumb951946,1,3103003621
alexpqotfitzpat271924,1,2168105063
alexqhikbsdlabeattonqyarx1771910,1,4164606906
alextzqebeatton1771910,1,2103257970
alexwe181977,1,3621546368
alexwebb781970,1,2093534235
alexwebb781970,0,2093534235
aleyaodfrkermeen1681949,1,4141655681
alfitzpatrick271924,1,3505605166
alfttanerastanley2531994,1,1262629454
alhaydock-wilson12121990,1,69144963
aliahaydock-wilson12121990,1,1758880757
aliahaydock-wilson12121990,0,1758880757
aliahaydock-wilson12121990,1,1758880757
aliakumhvzhaydock-wilson12121990,1,867011543
aliamogavero1531917,1,287206830
aliamogavero1531917,0,287206830
aliataubert2511916,1,103756919
aliataubert2511916,0,103756919
alicecampbel1641913,1,3098054659
alicecampbell1641913,1,4137995215
alicecampbell1641913,1,4137995215
alicecampbell1641913,1,4137995215
alicecampbell1641913,0,4137995215
alicecampbell1641913,1,4137995215
alicegodfrey3031991,0,180368587
aliceneumann30111973,1,3225609068
aliceneumann30111973,1,3225609068
aliceneumann30111973,1,3225609068
aliceneumann30111973,0,3225609068
aliceroman23111999,1,1693980049
aliceroman23111999,0,1693980049
alicewynne1211922,0,3172867395
alicewynne1211922,1,3172867395
alicewynne3011922,1,3441465851
aliceytnljpneumann30111973,1,1195828552
aliciabeaty14101959,0,505303029
aliciabeaty14101959,1,505303029
aliciabeaty14101959,1,505303029
aliciabeaty14101959,1,505303029
aliciaclarke1121901,1,1917699723
aliciaclarke1121981,1,2887809483
aliciaclarke1121981,1,2887809483
aliciaclarke1121981,0,2887809483
aliciacurry2781934,0,1987727078
aliciadixon3171986,1,3928881382
aliciadixon3171986,0,3928881382
aliciafardell4101947,1,3525661201
aliciafardell4101947,0,3525661201
aliciafardell4101947,1,3525661201
aliciafardell4101947,1,3525661201
aliciafardellh4101947,1,144572582
aliciafe15121997,1,1122597823
aliciafergus15121997,1,2075314219
aliciafergus15121997,1,2075314219
aliciafergus15121997,1,2075314219
aliciafergus15121997,1,2075314219
aliciafergus15121997,0,2075314219
aliciaferguse811919,1,1718121217
aliciafyzjspgreen1991995,1,2507161624
aliciagree1991995,1,3848184671
aliciagreen19121915,1,1921360950
aliciagreen1991955,1,3862791880
aliciagreen1991995,1,1011713845
aliciagreen1991995,0,1011713845
aliciagreen1991995,1,1011713845
aliciaheron3111932,0,1716560018
aliciaheron3111932,1,1716560018
alicialamonac581978,1,506911659
alicialamonaca1381978,1,1419642264
alicialamonaca1681991,1,3052758800
alicialamonaca26121978,1,2547852599
alicialamonaca581978,1,2712283810
alicialamonaca581978,0,2712283810
alicialamonaca581978,1,2712283810
alicialenartowicz29101929,0,2124062572
alicialenartowicz29101929,1,2124062572
aliciamiles13111970,1,2932007408
aliciamiles24111970,1,1421834620
aliciamiles24111970,1,1421834620
aliciamiles24111970,0,1421834620
aliciamollros891905,1,3835258855
aliciamollross891905,1,387275769
aliciamollross891905,0,387275769
aliciaqgpxdzgreen2991995,1,2254788489
aliciariddei2961962,1,1785010679
aliciariddei2961962,1,1785010679
aliciariddei2961962,1,1785010679
aliciariddei2961962,0,1785010679
aliciariddeixgbis2961962,1,283513768
aliciashzbeaty14101959,1,1503418599
aliciawhite15101982,1,1105993556
aliciawhite15101982,0,1105993556
aliciawhitel15101982,1,1104483785
aliciawiddowson1051930,1,2882761821
aliciawiddowson1051930,0,2882761821
aliciawiddowson1261930,1,1991067349
aliciblamonaca581978,1,3454612889
alicidixon3171986,1,3880728821
alisaclarke511976,1,749921115
alisaclarke511976,0,749921115
alisakalinowski1101999,1,1899791585
alisakalinowski12101999,1,765834560
alisakalinowski12101999,0,765834560
alisakalinowski12101999,1,765834560
alisakalinowski1271991,1,2200107023
alisakalinowski17121902,1,1268588174
alisatiller1971955,1,3154997493
alisatiller1971955,0,3154997493
alishakaderes1471902,0,4136036719
alishakaderes1471920,1,159762244
alishakgaoereid11111995,1,1498102754
alisharawlings2211915,1,3940093548
alisharawlings2211915,0,3940093548
alishareid11111995,0,3841136281
alishareid11111995,1,3841136281
alishawinfield1441976,1,790225709
alishawinfield1441976,0,790225709
alisonfeeney461928,0,1726665212
alisonhearn30121919,0,3982393134
alisonjcwpqmfeeney461928,1,967338480
alissabyers3111955,0,2847260800
alissaleo1221938,1,3355171097
alissaleong1261938,0,2580933272
alissapriest2111924,1,1726177069
alissapriest2111924,0,1726177069
alissapriest2111924,1,1726177069
alissaryan2981999,0,2084852318
alissaryan2981999,1,2084852318
alissaryan541942,0,3992133687
alissastanley1731979,0,459195308
alissastanley1731979,1,459195308
alissayelds6111988,0,3581817184
aliviadixon1101996,0,1324966414
aliviadixon1101996,1,1324966414
alizalloydd-wright921980,1,1051937206
alizalloydd-wright951980,1,1285086345
alizalloydd-wright951980,0,1285086345
alizawhite2621966,0,4152660146
alizawhite2621966,1,4152660146
allegracobbin1981969,1,4177449011
allegracobbin1981969,0,4177449011
allegracobbinic1971969,1,2540507610
aloysiuskammerman2271936,0,1836532097
aloysiuskammerman2271936,1,1836532097
alvan geel2741910,1,3755450543
alyshaalderman471970,0,3840907723
alyshaalderman471970,1,3840907723
alyshaalderman471970,1,3840907723
alyshaalderman471970,1,3840907723
alyshamaier1111948,1,2738980996
alyshamaier1111948,0,2738980996
alyshanguy481997,1,1640792067
alyshanguyen431997,1,1308396338
alyshanguyen431997,0,1308396338
alyshanguyen431997,1,1308396338
alyshanguyen531997,1,31474008
alyshaogvyen431997,1,95497169
alyshaogvyen491997,1,2080120569
alyshareid491994,0,2713549206
alyssaartis1561922,1,1196837712
alyssaartis1561922,1,1196837712
alyssaartis1561922,0,1196837712
alyssaartis1561922,1,1196837712
alyssacoleman2981926,0,988475252
alyssacoleman2981926,1,988475252
alyssakluske2281917,1,1332381739
alyssakluske2281917,1,1332381739
alyssakluske2281917,0,1332381739
alyssakluske2281917,1,1332381739
alyssakluske2281917,1,1332381739
alyssakluskera2281917,1,4013117293
alyssapastars1461953,1,1321246897
alyssapastars1461953,0,1321246897
alyssashepherdson851938,0,3817560596
amaliabrookhouse2271937,1,2740511194
amaliabrookhouse2271937,0,2740511194
amalialowe2551949,1,1654501940
amalialowe751949,0,3712569677
amanalombardi23111902,1,1529125499
amayapulford1561993,0,4238568415
amayapulford1561993,1,4238568415
amayaskirca2211998,0,2117224279
amayaskirca2211998,1,2117224279
